op_per_byte,op_per_second
1,750000.0
2,900000.00625
3,925000.0
4,997333.33375
5,1037500.0
6,1054000.0
7,1091666.64375
8,1102857.13
9,1096250.0
10,1107222.235
11,1118333.3375
12,1130181.84
13,1131359.17
14,1142435.88
15,1143131.85
16,1149890.095
17,1148107.1825
18,1152750.0
19,1150477.91
20,1155555.585
21,1154939.76125
22,1161025.355625
23,1164526.33
24,1156390.966875
25,1162608.25125
26,1167430.78
27,1158474.27109375
28,1169365.17625
29,1165887.888125
30,1172769.21375
31,1175085.49625
32,1171628.1675
33,1176163.0575
34,1172651.0375
35,1182356.27625
36,1180972.726875
37,1177299.671875
38,1174185.599375
39,1177938.740625
40,1179120.229375
41,1179352.9875
42,1176797.07625
43,1183145.66875
44,1178413.404375
45,1184021.7525
46,1184189.57625
47,1184957.02
48,1180514.6525
49,1175662.768125
50,1183546.07375
51,1187817.8725
52,1182190.6975
53,1186878.785
54,1187217.37
55,1181588.075
56,1185455.368125
57,1183143.939375
58,1189157.855
59,1187569.1575
60,1187371.58125
61,1188001.2025
62,1180410.64
63,1189097.665
64,1191021.58
65,1180212.4646875
66,1190793.6275
67,1186237.03875
68,1180886.258125
69,1189373.0425
70,1189614.85875
71,1187820.585625
72,1189254.1975
73,1190455.520625
74,1191452.37875
75,1175639.446875
76,1193172.175
77,1193553.64625
78,1191659.58125
79,1188224.286875
80,1183944.420625
81,1192861.705
82,1189937.779375
83,1195362.2775
84,1195297.0075
85,1178969.10125
86,1189213.53875
87,1190356.9375
88,1192156.95125
89,1193799.8875
90,1186304.08875
91,1194912.425
92,1185538.968125
93,1197286.31
94,1191348.74875
95,1192394.5225
96,1191906.138125
97,1191695.185625
98,1195851.46625
99,1195157.53375
100,1195345.29875
101,1190054.83
102,1191849.79875
103,1195159.815
104,1189248.15375
105,1194938.3
106,1194872.87
107,1190558.845625
108,1195390.6275
109,1196731.495
110,1189862.46
111,1190369.543125
112,1193589.125625
113,1185661.68875
114,1195362.53875
115,1191358.135
116,1194605.7525
117,1181657.766875
118,1199134.64875
119,1195812.2475
120,1188926.575
121,1194756.415
122,1196516.50125
123,1194090.34125
124,1192435.319375
125,1197837.555
126,1192554.68875
127,1195092.76875
128,1191850.160625
129,1196352.09
130,1197700.905
131,1197467.68625
132,1197200.911875
133,1192799.26875
134,1190916.89375
135,1188100.455625
136,1191149.066875
137,1192662.10875
138,1190227.123125
139,1196379.389375
140,1196060.850625
141,1185591.095625
142,1191040.18125
143,1182684.878125
144,1193046.928125
145,1196081.8275
146,1192939.934375
147,1198551.83125
148,1198746.44
149,1187962.82125
150,1194214.621875
151,1193579.29875
152,1198124.23
153,1199229.42375
154,1198022.81625
155,1196761.7475
156,1192865.53125
157,1192386.11
158,1198762.56625
159,1185886.99375
160,1200268.55875
161,1191500.8875
162,1197741.0525
163,1195471.764375
164,1188638.33625
165,1188300.75125
166,1198438.86375
167,1197214.94125
168,1199950.4225
169,1195505.575625
170,1196725.41375
171,1199304.295
172,1196344.176875
173,1194056.35375
174,1199816.375
175,1187892.221875
176,1194748.05
177,1194165.62875
178,1182356.42
179,1198192.03375
180,1195832.235625
181,1191463.85125
182,1192880.89375
183,1190795.280625
184,1186864.73125
185,1199961.29375
186,1167009.26375
187,1198687.0
188,1189759.206875
189,1190177.705
190,1200173.02375
191,1182146.1175
192,1197344.405625
193,1196139.97625
194,1198859.9825
195,1196716.194375
196,1197463.71
197,1197533.4225
198,1187044.2575
199,1183051.856875
300,1191220.3925
400,1197670.329375
500,1194864.1075
1000,1200826.87375
5000,1207402.0425
10000,1209025.96
50000,1209761.73
100000,1209513.315
1,255833.3340625
2,279642.8534375
3,290727.275625
4,291097.09855469
5,298713.2421875
6,298828.57125
7,301557.958125
8,302359.75625
9,302888.44265625
10,304929.8203125
11,304463.11359375
12,303876.27203125
13,305636.774375
14,306512.0725
15,306149.055625
16,306879.538125
17,304980.10109375
18,306995.0703125
19,307135.7446875
20,306351.37203125
21,306766.5690625
22,307277.93625
23,305719.25546875
24,307906.555625
25,306259.87125
26,307881.198125
27,304658.77296875
28,308512.8275
29,307119.4121875
30,308284.305625
31,307814.31921875
32,308473.430625
33,307458.5440625
34,307116.296875
35,307238.9740625
36,308417.064375
37,307342.99015625
38,308899.19125
39,308894.1403125
40,309101.5396875
41,307807.475
42,309464.3915625
43,308898.7428125
44,307381.12828125
45,308830.3634375
46,309139.01875
47,309384.5096875
48,308982.24
49,307799.53421875
50,305402.23484375
51,308520.48734375
52,308219.54125
53,306434.25015625
54,308445.80890625
55,307865.68609375
56,308537.6540625
57,308116.10890625
58,309770.3225
59,308335.46515625
60,308828.81625
61,308402.1765625
62,309638.5615625
63,309422.8484375
64,309596.825
65,308795.5878125
66,309155.784375
67,309051.64984375
68,309712.86
69,307843.9928125
70,309381.0134375
71,308652.74609375
72,308756.56953125
73,309554.158125
74,309944.2628125
75,308776.33828125
76,309016.33015625
77,308686.56390625
78,308697.085625
79,308976.8553125
80,308270.624375
81,309762.0828125
82,309271.9090625
83,309456.4259375
84,309247.3840625
85,309068.15734375
86,309869.829375
87,309263.6878125
88,309730.606875
89,309176.265625
90,309918.9534375
91,309439.151875
92,308577.3384375
93,309145.7415625
94,308947.881875
95,308848.333125
96,310035.385
97,309914.784375
98,308063.8840625
99,308948.9871875
100,309423.48859375
101,308822.6590625
102,308001.4146875
103,308752.9875
104,308100.94984375
105,308508.56
106,309537.4703125
107,308668.363125
108,308864.60734375
109,309843.50375
110,307692.09546875
111,309429.381875
112,308660.35265625
113,307881.36140625
114,310204.09625
115,308449.9734375
116,309320.8034375
117,308519.1878125
118,309887.5090625
119,309621.6128125
120,309386.56875
121,309074.419375
122,310004.1834375
123,310053.6115625
124,309089.4096875
125,308982.63578125
126,309604.93
127,309247.6678125
128,307947.32382812
129,309618.925625
130,308993.3940625
131,308841.8721875
132,309264.939375
133,309365.23296875
134,309262.66125
135,309790.32
136,307626.95296875
137,308376.8209375
138,308767.021875
139,307394.99203125
140,310155.8771875
141,310119.376875
142,308775.500625
143,309637.0028125
144,308585.94
145,309423.4090625
146,309252.91625
147,309208.7146875
148,309881.733125
149,309408.42859375
150,309617.4409375
151,309740.1965625
152,309622.2021875
153,309324.655
154,309793.75625
155,309120.958125
156,309787.1971875
157,308054.008125
158,308767.6778125
159,308995.3965625
160,309469.11375
161,309649.2990625
162,309319.3890625
163,308460.405625
164,308906.0234375
165,310091.218125
166,309295.0271875
167,309857.08
168,308856.1865625
169,309309.05
170,309849.1846875
171,309634.394375
172,309879.233125
173,309450.4421875
174,309459.461875
175,310147.9915625
176,309153.1646875
177,310057.874375
178,309684.8746875
179,309907.7365625
180,310037.781875
181,309181.88328125
182,309726.2325
183,309723.736875
184,309734.5834375
185,309220.3534375
186,309099.02125
187,309851.908125
188,309643.168125
189,309869.486875
190,310176.2934375
191,309561.3440625
192,309504.6175
193,309589.86484375
194,309753.943125
195,309286.3734375
196,309979.5853125
197,309906.0440625
198,310155.4503125
199,309482.1003125
300,310147.498125
400,310013.575
500,310521.6425
1000,310635.7828125
5000,311075.70625
10000,310987.4221875
50000,311004.2796875
100000,311127.9365625
